store,address,zip,status,updated,long,lat
Jewel - Osco,3644 S Archer Ave,60609-1044,OPEN,6/3/2020 17:00,-87.682491,41.827526
Aldi,1836 N Clybourn Ave,60614-4902,OPEN,6/4/2020 15:00,-87.654184,41.914306
Jewel - Osco,1220 S Ashland Ave,60608,OPEN,6/3/2020 17:00,-87.666452,41.866306
Aldi,4501 S Pulaski Rd,60632-4035,OPEN,6/4/2020 15:00,-87.723596,41.810456
Aldi,5501 S HARLEM AVE,60638,OPEN,6/10/2020 0:00,-87.801377,41.791634
Fresh Thyme Farmers Market,2500 N ELSTON AVE,60647,OPEN,6/10/2020 0:00,-87.680485,41.927161
Big Apple Finer Foods,2345 N Clark St,60614-3422,OPEN,,-87.639871,41.924644
Centro Fresh Market,4804 W DIVERSEY AVE,60639,OPEN,6/10/2020 0:00,-87.746768,41.931564
Save A Lot,2858 E 83rd St,60617,OPEN,6/5/2020 13:21,-87.554402,41.74461
Mariano's Lakeshore East,333 E Benton Pl,60601-7412,OPEN,6/5/2020 13:21,-87.61846,41.885515
Aldi,8333 S Cicero Ave,60652-3596,OPEN,6/4/2020 15:00,-87.740988,41.740856
Montrose Food Mart & Deli,6601 W IRVING PARK RD,60634,OPEN,6/10/2020 0:00,-87.790868,41.952851
Jewel - Osco,3531 N Broadway St,60657-1825,OPEN,6/3/2020 17:00,-87.646797,41.946598
Fat Lee Supermarket,2707 S WELLS ST,60616,OPEN,6/10/2020 0:00,-87.633033,41.843813
Aldi,6220 N California Ave,60659-2608,OPEN,6/4/2020 15:00,-87.699541,41.994349
Fair Share Finer Foods,6422 W 63rd Street,60638,OPEN,6/4/2020 15:00,-87.782075,41.777702
Avenue Food Mart,6850 W BELMONT AVE,60634,OPEN,6/10/2020 0:00,-87.797692,41.938134
Lindo Michoacan,3142 W LAWRENCE  AVE,60625,OPEN,6/10/2020 0:00,-87.707908,41.968473
